,last_four_difference,exp_win_difference,score_home,home_losses,spread_favorite,away_exp_win_pct,away_pt_diff_pg,weather_wind_mph,away_win_pct_last_4,h_ppg,a_ppg,home_exp_win_pct,home_pt_diff_pg,home_favorite,home_win_pct_last_4,over_under_line,total_ppg,total_points_against,weather_humidity,point_total,weather_temperature,schedule_season,a_papg,h_papg,per_game_difference,cluster
5488,0.25,0.5639009607806257,20,3,-7.0,0.3043729134949369,-2.8569999999999998,0.0,0.5,23.86,17.43,0.8682738742755626,6.857,1,0.75,40.5,41.29,37.29,66.552,37,72.0,2002,20.29,17.0,6.43,2
5489,0.75,-0.02304256731243015,7,3,-3.0,0.5874812956485079,1.429,10.0,0.0,30.12,24.0,0.5644387283360778,1.25,1,0.75,47.5,54.120000000000005,51.45,68.0,45,36.0,2002,22.57,28.88,6.120000000000001,1
5490,-0.5,-0.790812993417242,13,5,-7.0,0.9761236928109972,13.857000000000001,8.0,0.5,19.86,28.86,0.18531069939375525,-5.857,0,0.0,37.5,48.72,40.71,90.0,32,35.0,2002,15.0,25.71,-9.0,3
5491,-0.25,-0.14218392430812132,20,4,-3.5,0.7444963538600438,4.143,8.0,0.75,23.12,24.14,0.6023124295519224,1.625,0,0.5,44.0,47.260000000000005,41.5,66.0,43,39.0,2002,20.0,21.5,-1.0199999999999996,3
5492,0.0,-0.06546785576030306,9,5,-3.0,0.17312382906099452,-4.75,0.0,0.25,21.29,13.5,0.10765597330069146,-9.142999999999999,1,0.25,37.0,34.79,48.68,66.552,16,72.0,2002,18.25,30.43,7.789999999999999,0
5493,0.25,0.04846275909446624,3,5,-2.5,0.003153215899169327,-19.429000000000002,0.0,0.0,14.86,10.71,0.05161597499363557,-10.286,1,0.25,36.5,25.57,55.28,66.552,41,72.0,2002,30.14,25.14,4.149999999999999,0
5494,0.0,0.2829225693677629,15,3,-3.0,0.22673121833753446,-5.2860000000000005,0.0,0.5,20.71,22.86,0.5096537877052973,0.14300000000000002,1,0.5,47.0,43.57,48.71,66.552,38,72.0,2002,28.14,20.57,-2.1499999999999986,1
5495,0.0,-0.4202337204299432,24,4,-3.0,0.6350103442222013,2.0,13.0,0.25,12.71,21.0,0.214776623792258,-3.714,1,0.25,35.5,33.71,35.43,55.0,41,43.0,2002,19.0,16.43,-8.29,2
5496,-0.5,0.0064055703054165525,20,3,-3.0,0.7830500089187837,5.143,6.0,0.75,29.43,25.71,0.7894555792242003,5.857,1,0.25,49.5,55.14,44.14,48.0,43,55.0,2002,20.57,23.57,3.719999999999999,3
5497,0.25,0.8377629937736097,13,1,-8.5,0.05254235224511795,-11.0,8.0,0.25,24.71,16.57,0.8903053460187277,7.7139999999999995,1,0.5,41.0,41.28,44.57,79.0,57,60.0,2002,27.57,17.0,8.14,2
5498,-0.25,0.13227887411858627,3,5,-2.0,0.15957871020045208,-6.7139999999999995,3.0,0.5,20.29,20.14,0.29185758431903835,-3.429,1,0.25,41.5,40.43,50.57,57.0,17,41.0,2002,26.86,23.71,0.14999999999999858,0
5499,0.25,0.6994867403414019,38,2,-7.5,0.2689742481874525,-4.2860000000000005,6.0,0.5,20.62,23.14,0.9684609885288544,10.0,1,0.75,37.0,43.760000000000005,38.05,68.0,62,68.0,2002,27.43,10.62,-2.5199999999999996,2
5500,0.25,-0.0023274353575908346,24,1,-4.5,0.838388956003003,6.7139999999999995,8.0,0.5,29.0,27.14,0.8360615206454122,7.0,1,0.75,41.5,56.14,42.43,65.0,34,37.0,2002,20.43,22.0,1.8599999999999994,3
5501,0.0,0.19812291536419366,6,4,-3.0,0.23122279527815184,-4.375,13.0,0.25,18.75,18.12,0.4293457106423455,-1.0,1,0.25,37.0,36.870000000000005,42.25,42.0,33,73.0,2002,22.5,19.75,0.629999999999999,2
5502,0.0,0.27516059908740365,38,5,-4.0,0.027810952243943556,-12.625,8.0,0.25,17.38,14.12,0.3029715513313472,-2.875,1,0.25,37.0,31.5,47.0,84.0,65,58.0,2002,26.75,20.25,3.26,0
5503,-0.5,-0.340625071515703,24,5,-4.0,0.7748786491937758,5.875,10.0,0.5,13.88,32.0,0.4342535776780728,-0.75,0,0.0,39.5,45.88,40.74,86.0,58,64.0,2002,26.12,14.62,-18.119999999999997,3
5504,-0.25,-0.6037052703226684,30,6,-5.0,0.7819729111108662,5.125,19.0,0.25,19.0,25.75,0.17826764078819785,-5.875,0,0.0,39.0,44.75,45.5,85.0,63,60.0,2002,20.62,24.88,-6.75,1
5505,0.25,0.7409964929532155,40,1,-10.5,0.1284920213394407,-7.75,10.0,0.5,28.38,19.75,0.8694885142926562,7.875,1,0.75,42.0,48.129999999999995,48.0,90.0,54,52.0,2002,27.5,20.5,8.629999999999999,1
5506,-0.5,0.3250568579770561,26,5,-1.5,0.2350418831446844,-4.5,11.0,0.5,20.5,19.38,0.5600987411217405,0.875,1,0.0,39.5,39.879999999999995,43.5,82.0,33,73.0,2002,23.88,19.62,1.120000000000001,2
5507,0.25,-0.08927965952913955,20,6,-1.5,0.3105244233222682,-2.375,0.0,0.25,23.25,14.12,0.22124476379312866,-5.5,0,0.5,45.0,37.37,45.25,66.552,47,72.0,2002,16.5,28.75,9.13,0
5508,0.25,-0.5477166949516101,13,5,-2.5,0.7378495782813808,4.125,11.0,0.25,20.0,25.0,0.19013288332977069,-5.75,1,0.5,39.5,45.0,46.629999999999995,83.0,23,59.0,2002,20.88,25.75,-5.0,1
5509,0.5,0.5307235663620745,13,2,-9.5,0.4407007548193771,-0.875,12.0,0.25,27.62,20.0,0.9714243211814516,12.875,1,0.75,41.5,47.620000000000005,35.629999999999995,75.0,48,63.0,2002,20.88,14.75,7.620000000000001,3
5510,0.0,-0.11616245661823976,34,3,-5.5,0.8540223487304561,6.375,11.0,1.0,24.0,23.38,0.7378598921122164,4.0,1,1.0,42.5,47.379999999999995,37.0,72.0,68,59.0,2002,17.0,20.0,0.620000000000001,3
5511,0.5,0.15688042390384271,17,2,-5.0,0.6159372366960838,2.375,13.0,0.25,25.38,32.38,0.7728176605999265,4.875,1,0.75,49.0,57.760000000000005,50.5,85.0,30,59.0,2002,30.0,20.5,-7.0000000000000036,1
5512,0.25,-0.22832027652966824,28,5,-6.0,0.6786402805917767,2.875,0.0,0.5,20.75,23.25,0.4503200040621085,-0.75,1,0.75,44.0,44.0,41.879999999999995,66.552,52,72.0,2002,20.38,21.5,-2.5,2
5513,0.5,0.2761869282339014,17,4,-9.0,0.021071881525641253,-13.375,17.0,0.25,22.88,13.38,0.29725880975954266,-3.625,1,0.75,39.5,36.26,53.25,73.0,27,71.0,2002,26.75,26.5,9.499999999999998,0
5514,0.5,0.008982644674940254,10,2,-6.0,0.7483307567726155,4.75,11.0,0.0,25.88,28.25,0.7573134014475558,4.625,1,0.5,45.5,54.129999999999995,44.75,47.0,44,36.0,2002,23.5,21.25,-2.370000000000001,1
5515,0.25,0.030670878866875584,24,3,-1.5,0.7914169804062829,6.332999999999999,0.0,0.5,27.62,32.22,0.8220878592731585,6.375,1,0.75,51.0,59.84,47.14,66.552,41,72.0,2002,25.89,21.25,-4.599999999999998,1
5516,-0.25,-0.5360350232417079,20,8,-3.0,0.5706782604031231,1.111,12.0,0.5,15.56,22.78,0.034643237161415125,-12.444,0,0.25,41.5,38.34,49.67,83.0,47,35.0,2002,21.67,28.0,-7.220000000000001,0
5517,-0.25,-0.1387622029516567,14,6,-3.0,0.2219938686785229,-4.7780000000000005,0.0,0.75,19.11,19.22,0.08323166572686619,-9.777999999999999,0,0.5,43.0,38.33,52.89,66.552,45,72.0,2002,24.0,28.89,-0.10999999999999943,0
5518,0.0,-0.6687769802497527,21,7,-6.5,0.6922236570397712,2.889,0.0,0.25,13.0,21.11,0.023446676790018425,-12.667,0,0.25,36.5,34.11,43.89,66.552,45,72.0,2002,18.22,25.67,-8.11,0
5519,0.25,0.431064116902394,20,4,-6.5,0.17904948541409274,-4.444,0.0,0.0,21.67,12.78,0.6101136023164867,1.6669999999999998,1,0.25,39.5,34.45,37.22,66.552,23,72.0,2002,17.22,20.0,8.890000000000002,2
5520,-0.25,0.2068180240111166,17,5,-3.5,0.3789803842141025,-2.333,12.0,0.5,30.22,27.56,0.5857984082252191,1.6669999999999998,1,0.25,52.5,57.78,58.45,74.0,33,39.0,2002,29.89,28.56,2.66,1
5521,-0.5,0.2951969017958344,26,4,-5.0,0.409849834970948,-1.3330000000000002,13.0,0.5,23.33,19.67,0.7050467367667824,3.333,1,0.0,34.5,43.0,41.0,87.0,33,70.0,2002,21.0,20.0,3.6599999999999966,2
5522,-0.5,-0.7017812122697888,31,7,-6.5,0.9146998758635052,9.889,0.0,0.75,22.89,29.67,0.21291866359371636,-5.667000000000001,0,0.25,50.5,52.56,48.34,66.552,52,72.0,2002,19.78,28.56,-6.780000000000001,1
5523,0.0,0.23183560248519872,19,4,-3.5,0.1624791283397691,-6.111000000000001,22.0,0.5,15.56,18.0,0.3943147308249678,-1.3330000000000002,1,0.5,34.5,33.56,41.0,93.0,36,41.0,2002,24.11,16.89,-2.4399999999999995,2
5524,-0.25,0.06735262142992693,27,4,-4.5,0.7654599980097853,4.888999999999999,7.0,0.5,28.89,26.56,0.8328126194397122,6.888999999999999,1,0.25,48.0,55.45,43.67,84.0,47,55.0,2002,21.67,22.0,2.330000000000002,3
5525,0.5,0.6335817538589039,38,3,-12.0,0.2830191944146009,-3.222,17.0,0.25,26.0,17.33,0.9166009482735048,9.0,1,0.75,37.5,43.33,37.56,92.0,52,43.0,2002,20.56,17.0,8.670000000000002,2
5526,-0.5,-0.14290682655208875,20,3,-2.5,0.7747365499567167,4.7780000000000005,5.0,0.75,23.33,24.44,0.631829723404628,2.1109999999999998,0,0.25,43.0,47.769999999999996,40.89,32.0,37,63.0,2002,19.67,21.22,-1.110000000000003,3
5527,0.0,-0.19458066550646397,9,6,-5.5,0.5881513675967415,1.444,14.0,0.5,19.11,24.11,0.3935707020902775,-1.556,0,0.5,42.5,43.22,43.34,84.0,40,49.0,2002,22.67,20.67,-5.0,2
5528,0.5,0.6059961897397491,23,2,-8.0,0.3586840148987971,-1.778,17.0,0.0,22.56,15.0,0.9646802046385462,10.444,1,0.5,34.5,37.56,28.89,77.0,33,63.0,2002,16.78,12.11,7.559999999999999,2
5529,0.0,-0.3585833696995492,31,4,-3.0,0.7123977684561028,4.0,10.0,0.75,22.22,28.25,0.3538143987565536,-2.444,0,0.75,44.0,50.47,48.92,63.0,54,39.0,2002,24.25,24.67,-6.030000000000001,1
5530,0.75,0.2867310199199471,21,5,-10.5,0.19877748559777256,-5.556,0.0,0.0,21.56,20.22,0.4855085055177196,-0.222,1,0.75,43.5,41.78,47.56,66.552,37,72.0,2002,25.78,21.78,1.3399999999999999,0
5531,-0.5,-0.6512102711507352,20,6,-9.5,0.8344772974257113,6.9,6.0,0.5,17.0,28.7,0.18326702627497615,-5.3,0,0.0,44.0,45.7,44.1,24.0,61,64.0,2002,21.8,22.3,-11.7,1
5532,-0.75,-0.1184416566871811,13,6,-2.5,0.41558414741268895,-1.4,7.0,1.0,18.4,23.1,0.29714249072550786,-3.1,0,0.25,38.5,41.5,46.0,60.0,25,42.0,2002,24.5,21.5,-4.700000000000003,0
5533,-0.875,-0.5419141062324839,0,7,-3.5,0.8214158969665313,5.8,1.0,0.875,14.5,24.5,0.2795017907340473,-2.9,0,0.0,37.0,39.0,36.099999999999994,56.0,41,46.0,2002,18.7,17.4,-10.0,2
5534,-0.25,0.12826882938113138,20,8,-5.0,0.06947951626500072,-10.5,9.0,0.25,19.8,18.6,0.19774834564613208,-5.5,1,0.0,37.5,38.400000000000006,54.400000000000006,71.0,37,35.0,2002,29.1,25.3,1.1999999999999993,0
5535,-0.5,-0.5715250544047755,21,7,-2.5,0.691084513381649,2.9,16.0,0.5,11.8,21.4,0.11955945897687348,-5.7,0,0.0,34.0,33.2,36.0,73.0,40,60.0,2002,18.5,17.5,-9.599999999999998,2
5536,0.0,-0.003370680028287887,20,3,-6.0,0.7089869317667059,3.2,13.0,0.5,24.8,21.5,0.705616251738418,3.5,1,0.5,43.0,46.3,39.6,76.0,43,27.0,2002,18.3,21.3,3.3000000000000007,3
5537,-0.5,-0.3879480192471742,16,8,-5.5,0.4208374976033357,-1.0,0.0,0.75,13.8,15.9,0.03288947835616152,-11.7,0,0.25,34.0,29.700000000000003,42.4,66.552,30,72.0,2002,16.9,25.5,-2.0999999999999996,2
